registry_id,year,violation
110070096721,2022,1
110070090536,2022,1
110055097648,2022,0
110000485190,2022,0
110067031991,2022,0
110070089273,2022,1
110067187118,2022,1
110000479330,2022,0
110070096997,2022,0
110000526538,2022,0
110070162332,2022,1
110008332553,2022,0
110070219509,2022,0
110011092441,2022,1
110070111165,2022,0
110070263612,2022,0
110067587249,2022,0
110006388854,2022,0
110070162549,2022,0
110070087769,2022,0
110070204281,2022,1
110064760450,2022,0
110070212301,2022,1
110070389493,2022,1
110070001427,2022,0
110070095507,2022,0
110069994881,2022,0
110070088222,2022,0
110070089639,2022,1
110070386622,2022,1
110070147427,2022,0
110070257065,2022,0
110064512807,2022,0
110070093526,2022,0
110000517334,2022,0
110070159666,2022,0
110070389528,2022,0
110032780426,2022,0
110055257065,2022,0
110070104801,2022,0
110062659369,2022,1
110010112733,2022,0
110001199532,2022,0
110000496776,2022,0
110070202689,2022,0
110059798134,2022,0
110069477658,2022,0
110070097798,2022,1
110009954148,2022,0
110070097241,2022,0
110070086185,2022,1
110070503784,2022,0
110022432410,2022,0
110070001176,2022,1
110070145548,2022,0
110070201134,2022,0
110045693692,2022,0
110066757165,2022,0
110070097052,2022,0
110070097304,2022,0
110002795850,2022,1
110070088853,2022,0
110000525539,2022,0
110070094449,2022,0
110070092157,2022,1
110013828064,2022,0
110070088812,2022,0
110066417700,2022,1
110070091524,2022,0
110070091451,2022,0
110070087287,2022,0
110070095338,2022,0
110002139702,2022,1
110070228665,2022,0
110070210735,2022,1
110070248708,2022,1
110070147888,2022,0
110065634460,2022,0
110070264427,2022,1
110070389118,2022,1
110002437195,2022,0
110070091806,2022,0
110002408591,2022,0
110070087536,2022,0
110002854313,2022,0
110006783016,2022,0
110070095727,2022,0
110070030819,2022,1
110070096253,2022,1
110002662789,2022,1
110070220041,2022,1
110070094398,2022,0
110070096736,2022,0
110070102709,2022,1
110065193249,2022,0
110070091785,2022,0
110055788465,2022,0
110070087572,2022,0
110070097014,2022,0
110057189359,2022,0
110070126666,2022,0
110070088805,2022,0
110065848024,2022,0
110070554626,2022,1
110070091066,2022,0
110002464887,2022,0
110001183807,2022,0
110070087114,2022,0
110043745276,2022,0
110070251015,2022,0
110070517658,2022,1
110070546981,2022,1
110002682268,2022,0
110070504220,2022,0
110070088889,2022,0
110070088431,2022,0
110070518419,2022,0
110070090455,2022,1
110070232409,2022,0
110070092279,2022,0
110070096139,2022,0
110070445298,2022,0
110070387480,2022,1
110070146430,2022,0
110070094397,2022,0
110070562898,2022,0
110070387007,2022,0
110070093565,2022,0
110070568022,2022,0
110064193377,2022,0
110070226776,2022,1
110070252400,2022,0
110070096866,2022,0
110070088013,2022,1
110000874616,2022,0
110070390116,2022,0
110009073448,2022,1
110000486304,2022,1
110070894147,2022,0
110070087213,2022,0
110070094395,2022,0
110066142301,2022,0
110070096551,2022,1
110070529568,2022,1
110070545119,2022,1
110065777877,2022,0
110070145782,2022,0
110070213271,2022,1
110070501538,2022,1
110070095116,2022,0
110038053922,2022,0
110064923739,2022,0
110027365269,2022,0
110070090028,2022,0
110065829740,2022,0
110070097703,2022,0
110065737858,2022,0
110070519427,2022,1
110070266856,2022,0
110070792829,2022,0
110070504449,2022,1
110070096571,2022,0
110070095439,2022,0
110070391838,2022,0
110039205062,2022,0
110070555411,2022,1
110070235462,2022,0
110070097555,2022,0
110001193404,2022,0
110070087251,2022,0
110070554150,2022,1
110041964773,2022,0
110030480913,2022,0
110013852465,2022,1
110002634347,2022,0
110070116830,2022,1
110000477467,2022,0
110065246166,2022,0
110069334562,2022,0
110070094393,2022,0
110055863631,2022,0
110070088938,2022,0
110070097519,2022,0
110070336376,2022,0
110070094556,2022,0
110000479401,2022,0
110070547966,2022,1
110070567810,2022,0
110069484579,2022,0
110070230984,2022,0
110070599383,2022,1
110070552096,2022,1
110070079446,2022,0
110070088120,2022,0
110070145146,2022,0
110070088814,2022,0
110001131506,2022,0
110070087402,2022,1
110054305569,2022,0
110035448272,2022,0
110070838633,2022,0
110070264167,2022,1
110070388991,2022,1
110070837619,2022,1
110070685837,2022,0
110070865468,2022,0
110070818509,2022,0
110070668910,2022,1
110070603106,2022,0
110070162355,2022,1
110062665307,2022,0
110070816397,2022,0
110070134981,2022,0
110070621631,2022,1
110070000369,2022,0
110070667288,2022,1
110070667871,2022,1
110009878230,2022,0
110070742592,2022,0
110070818442,2022,1
110070832490,2022,1
110070740582,2022,0
110070741895,2022,0
110011493874,2022,0
110070741993,2022,1
110070621197,2022,0
110070826531,2022,0
110070830831,2022,0
110063016490,2022,0
110070742950,2022,0
110070825408,2022,0
110070674780,2022,1
110070103096,2022,0
110070818989,2022,0
110054110225,2022,1
110070555843,2022,0
110070544604,2022,0
110070047841,2022,0
110070740987,2022,0
110070531185,2022,1
110070839514,2022,1
110070145641,2022,0
110070688465,2022,0
110070666630,2022,0
110070393245,2022,0
110070693546,2022,1
110070670468,2022,0
110071236986,2022,0
110070624771,2022,1
110070116758,2022,0
110011911244,2022,0
110070618705,2022,1
110011106739,2022,0
110042788187,2022,0
110070875884,2022,1
110070918199,2022,0
110058278091,2022,1
110070817180,2022,1
110070792453,2022,0
110070387073,2022,0
110070600124,2022,1
110070602387,2022,0
110067015544,2022,1
110070710826,2022,1
110070569624,2022,0
110070387509,2022,0
110070670282,2022,1
110042802189,2022,0
110070391335,2022,0
110070686798,2022,1
110070390063,2022,0
110070621389,2022,0
110070705841,2022,0
110070519843,2022,0
110055689893,2022,0
110070674196,2022,1
110070252312,2022,0
110070824433,2022,1
110009072270,2022,1
110070838009,2022,0
110070603330,2022,1
110005658467,2022,1
110070236964,2022,0
110070705212,2022,0
110000442405,2022,1
110070621684,2022,0
110031109164,2022,0
110070568127,2022,0
110070620765,2022,1
110070625033,2022,1
110070672570,2022,1
110070740518,2022,1
110070621411,2022,1
110070830304,2022,0
110062638329,2022,0
110044899358,2022,1
110070793558,2022,0
110070526807,2022,0
110070696560,2022,0
110070884044,2022,0
110070838723,2022,0
110020724910,2022,1
110070817220,2022,0
110070877148,2022,0
110070388580,2022,0
110070712685,2022,0
110070047869,2022,0
110070877029,2022,0
110070923980,2022,0
110069999727,2022,1
110070837535,2022,1
110070927126,2022,0
110069488682,2022,0
110070601283,2022,0
110070675184,2022,1
110071074774,2022,0
110070938993,2022,1
110071068373,2022,0
110070925819,2022,1
110070885414,2022,0
110070937457,2022,0
110070557773,2022,0
110070866143,2022,1
110071158615,2022,0
110070928148,2022,0
110030767677,2022,0
110070946760,2022,1
110054257683,2022,0
110032828064,2022,0
110070946293,2022,0
110070939077,2022,0
110070866226,2022,0
110070818400,2022,1
110070876780,2022,0
110070506496,2022,1
110071073987,2022,1
110038882938,2022,1
110070894117,2022,1
110043731879,2022,1
110002520460,2022,1
110071097514,2022,0
110070263611,2022,1
110070883620,2022,1
110070162354,2022,0
110070793072,2022,1
110071238251,2022,0
110070667731,2022,1
110002531038,2022,0
110070893112,2022,0
110070695813,2022,0
110071077345,2022,1
110070946765,2022,0
110070893683,2022,1
110070667238,2022,0
110070668168,2022,0
110070884611,2022,1
110066031421,2022,0
110070518483,2022,0
110056350540,2022,0
110070948546,2022,0
110070673192,2022,0
110070875818,2022,1
110070155162,2022,0
110071077220,2022,1
110032646527,2022,0
110071070407,2022,0
110008972594,2022,0
110070941186,2022,0
110070926821,2022,0
110070832427,2022,0
110070741200,2022,0
110071067713,2022,1
110070839073,2022,0
110070883131,2022,1
110070832243,2022,1
110070250368,2022,0
110070919557,2022,0
110070115482,2022,1
110020959300,2022,0
110040763885,2022,1
110070003976,2022,0
110070928884,2022,0
110071220416,2022,0
110071076278,2022,1
110070256362,2022,1
110070839776,2022,0
110070596700,2022,1
110071144487,2022,1
110070894096,2022,0
110070940134,2022,1
110071068145,2022,0
110056730113,2022,1
110070072418,2022,0
110070696277,2022,0
110070793667,2022,0
110070894034,2022,0
110070946036,2022,1
110012965201,2022,0
110070892459,2022,1
110070819071,2022,0
110071252852,2022,1
110070119756,2022,0
110071148172,2022,1
110070865646,2022,0
110041959048,2022,0
110069995264,2022,0
110070837999,2022,0
110009074786,2022,0
110070949207,2022,0
110012609178,2022,0
110071155644,2022,0
110070073605,2022,0
110070818949,2022,0
110071158161,2022,0
110070712137,2022,0
110071206641,2022,1
110071066820,2022,1
110070949292,2022,1
110071277971,2022,0
110070551805,2022,0
110070946357,2022,0
110070712228,2022,1
110071147668,2022,0
110070894234,2022,1
110070686552,2022,0
110070891722,2022,1
110071142116,2022,0
110071240687,2022,0
110070742752,2022,0
110070237662,2022,0
110071096392,2022,0
110071236278,2022,0
110070946712,2022,0
110070695545,2022,0
110065283188,2022,0
110071157647,2022,0
110005659812,2022,0
110071097425,2022,0
110071067623,2022,0
110071158297,2022,1
110071142293,2022,0
110067354286,2022,1
110071254888,2022,0
110070946467,2022,0
110070792051,2022,0
110071203986,2022,0
110055626470,2022,1
110002536355,2022,1
110070947663,2022,1
110071253777,2022,0
110070602418,2022,0
110070948411,2022,1
110071097686,2022,0
110009957671,2022,0
110070839642,2022,0
110070949106,2022,0
110070266883,2022,1
110069604789,2022,0
110070064155,2022,0
110070742540,2022,1
110071144961,2022,1
110003236515,2022,1
110070159218,2022,0
110070693244,2022,0
110070865092,2022,1
110071082620,2022,0
110071074263,2022,0
110070918951,2022,1
110071096005,2022,0
110071144625,2022,0
110070741603,2022,0
110070504630,2022,1
110071158671,2022,1
110070894219,2022,0
110071223079,2022,1
110071148210,2022,0
110070227855,2022,0
110070695893,2022,0
110071239694,2022,0
110071236172,2022,1
110071222408,2022,1
110071092728,2022,0
110064674641,2022,0
110070232495,2022,0
110070867719,2022,0
110070517540,2022,1
110070706175,2022,0
110071204584,2022,0
110071279416,2022,0
110069493952,2022,1
110070667655,2022,0
110071147978,2022,1
110070930303,2022,1
110071237484,2022,0
110071180922,2022,0
110071221900,2022,0
110071181783,2022,0
110070567602,2022,0
110071081999,2022,0
110070793891,2022,0
587045725597,2022,1
287976991379,2022,1
593626898223,2022,0
898787455485,2022,1
447518950185,2022,0
131083509216,2022,0
848308670007,2022,0
698689100197,2022,0
709807017613,2022,0
324253300613,2022,1
774524306585,2022,0
450281513480,2022,0
287548315871,2022,0
727420307186,2022,0
761039145333,2022,0
378040382493,2022,0
482047536104,2022,1
298216756416,2022,0
657201015244,2022,0
283042049717,2022,1
